source	metaedge	target
Compound::DB01175	CpD	Disease::DOID:3312
Compound::DB00321	CpD	Disease::DOID:7148
Compound::DB00176	CpD	Disease::DOID:594
Compound::DB01037	CpD	Disease::DOID:10652
Compound::DB00945	CpD	Disease::DOID:9074
Compound::DB01100	CpD	Disease::DOID:11119
Compound::DB00328	CpD	Disease::DOID:7147
Compound::DB00218	CpD	Disease::DOID:3083
Compound::DB00989	CpD	Disease::DOID:14330
Compound::DB00203	CpD	Disease::DOID:418
Compound::DB00500	CpD	Disease::DOID:8398
Compound::DB01224	CpD	Disease::DOID:12849
Compound::DB01104	CpD	Disease::DOID:5419
Compound::DB00996	CpD	Disease::DOID:9074
Compound::DB01175	CpD	Disease::DOID:1595
Compound::DB00104	CpD	Disease::DOID:4989
Compound::DB00741	CpD	Disease::DOID:263
Compound::DB01267	CpD	Disease::DOID:5419
Compound::DB01068	CpD	Disease::DOID:14330
Compound::DB01200	CpD	Disease::DOID:14330
Compound::DB00692	CpD	Disease::DOID:10763
Compound::DB00402	CpD	Disease::DOID:2377
Compound::DB00810	CpD	Disease::DOID:14330
Compound::DB01063	CpD	Disease::DOID:5419
Compound::DB01255	CpD	Disease::DOID:1094
Compound::DB00215	CpD	Disease::DOID:1595
Compound::DB00230	CpD	Disease::DOID:9074
Compound::DB00500	CpD	Disease::DOID:7148
Compound::DB00980	CpD	Disease::DOID:14330
Compound::DB00281	CpD	Disease::DOID:3393
Compound::DB00404	CpD	Disease::DOID:594
Compound::DB00402	CpD	Disease::DOID:5419
Compound::DB01001	CpD	Disease::DOID:4481
Compound::DB00985	CpD	Disease::DOID:5419
Compound::DB01224	CpD	Disease::DOID:3312
Compound::DB00829	CpD	Disease::DOID:594
Compound::DB00540	CpD	Disease::DOID:1094
Compound::DB01149	CpD	Disease::DOID:1595
Compound::DB00554	CpD	Disease::DOID:8398
Compound::DB00860	CpD	Disease::DOID:0050156
Compound::DB00169	CpD	Disease::DOID:784
Compound::DB01037	CpD	Disease::DOID:1595
Compound::DB01156	CpD	Disease::DOID:1094
Compound::DB00334	CpD	Disease::DOID:11119
Compound::DB00443	CpD	Disease::DOID:1319
Compound::DB00482	CpD	Disease::DOID:8398
Compound::DB00537	CpD	Disease::DOID:3083
Compound::DB00742	CpD	Disease::DOID:1686
Compound::DB01166	CpD	Disease::DOID:418
Compound::DB00813	CpD	Disease::DOID:10283
Compound::DB00477	CpD	Disease::DOID:12995
Compound::DB00715	CpD	Disease::DOID:594
Compound::DB00214	CpD	Disease::DOID:784
Compound::DB00458	CpD	Disease::DOID:1094
Compound::DB00924	CpD	Disease::DOID:8398
Compound::DB00915	CpD	Disease::DOID:14330
Compound::DB01356	CpD	Disease::DOID:5419
Compound::DB00246	CpD	Disease::DOID:3312
Compound::DB01115	CpD	Disease::DOID:418
Compound::DB01009	CpD	Disease::DOID:8398
Compound::DB00554	CpD	Disease::DOID:7148
Compound::DB00673	CpD	Disease::DOID:219
Compound::DB00245	CpD	Disease::DOID:10652
Compound::DB00572	CpD	Disease::DOID:8778
Compound::DB00443	CpD	Disease::DOID:1612
Compound::DB00977	CpD	Disease::DOID:1612
Compound::DB00514	CpD	Disease::DOID:2377
Compound::DB00736	CpD	Disease::DOID:5041
Compound::DB00289	CpD	Disease::DOID:12849
Compound::DB00273	CpD	Disease::DOID:3312
Compound::DB00727	CpD	Disease::DOID:3393
Compound::DB00776	CpD	Disease::DOID:3312
Compound::DB00945	CpD	Disease::DOID:7148
Compound::DB01156	CpD	Disease::DOID:594
Compound::DB00472	CpD	Disease::DOID:594
Compound::DB00334	CpD	Disease::DOID:594
Compound::DB00788	CpD	Disease::DOID:6364
Compound::DB00482	CpD	Disease::DOID:9074
Compound::DB00241	CpD	Disease::DOID:6364
Compound::DB00903	CpD	Disease::DOID:784
Compound::DB01165	CpD	Disease::DOID:3083
Compound::DB00736	CpD	Disease::DOID:10283
Compound::DB00315	CpD	Disease::DOID:6364
Compound::DB00281	CpD	Disease::DOID:8398
Compound::DB00316	CpD	Disease::DOID:6364
Compound::DB00734	CpD	Disease::DOID:12995
Compound::DB00555	CpD	Disease::DOID:3312
Compound::DB00363	CpD	Disease::DOID:5419
Compound::DB00977	CpD	Disease::DOID:11612
Compound::DB00433	CpD	Disease::DOID:1612
Compound::DB01043	CpD	Disease::DOID:14330
Compound::DB00477	CpD	Disease::DOID:3312
Compound::DB00635	CpD	Disease::DOID:8398
Compound::DB01219	CpD	Disease::DOID:2377
Compound::DB00461	CpD	Disease::DOID:7148
Compound::DB01397	CpD	Disease::DOID:8893
Compound::DB00353	CpD	Disease::DOID:6364
Compound::DB00443	CpD	Disease::DOID:219
Compound::DB00736	CpD	Disease::DOID:263
Compound::DB00289	CpD	Disease::DOID:1094
Compound::DB00656	CpD	Disease::DOID:5419
Compound::DB00313	CpD	Disease::DOID:1595
Compound::DB01012	CpD	Disease::DOID:784
Compound::DB00673	CpD	Disease::DOID:1612
Compound::DB01137	CpD	Disease::DOID:3083
Compound::DB00712	CpD	Disease::DOID:8398
Compound::DB00814	CpD	Disease::DOID:418
Compound::DB00476	CpD	Disease::DOID:3312
Compound::DB00367	CpD	Disease::DOID:11612
Compound::DB00586	CpD	Disease::DOID:7148
Compound::DB00422	CpD	Disease::DOID:1094
Compound::DB00245	CpD	Disease::DOID:14330
Compound::DB01085	CpD	Disease::DOID:11934
