source	metaedge	target
Compound::DB01069	CrC	Compound::DB00777
Compound::DB01103	CrC	Compound::DB00613
Compound::DB01231	CrC	Compound::DB00209
Compound::DB01327	CrC	Compound::DB01112
Compound::DB00257	CrC	Compound::DB04794
Compound::DB00432	CrC	Compound::DB01262
Compound::DB01299	CrC	Compound::DB05245
Compound::DB00690	CrC	Compound::DB01589
Compound::DB00741	CrC	Compound::DB00603
Compound::DB01489	CrC	Compound::DB01594
Compound::DB00567	CrC	Compound::DB00430
Compound::DB01594	CrC	Compound::DB00186
Compound::DB00635	CrC	Compound::DB01222
Compound::DB00408	CrC	Compound::DB00349
Compound::DB00683	CrC	Compound::DB00186
Compound::DB00687	CrC	Compound::DB08970
Compound::DB00229	CrC	Compound::DB01139
Compound::DB00902	CrC	Compound::DB00623
Compound::DB00680	CrC	Compound::DB00477
Compound::DB01234	CrC	Compound::DB01013
Compound::DB00812	CrC	Compound::DB01320
Compound::DB00333	CrC	Compound::DB00950
Compound::DB08970	CrC	Compound::DB00860
Compound::DB00429	CrC	Compound::DB00917
Compound::DB00671	CrC	Compound::DB01332
Compound::DB00813	CrC	Compound::DB00899
Compound::DB01021	CrC	Compound::DB00562
Compound::DB00850	CrC	Compound::DB08796
Compound::DB08954	CrC	Compound::DB01146
Compound::DB00748	CrC	Compound::DB04837
Compound::DB01419	CrC	Compound::DB08827
Compound::DB00443	CrC	Compound::DB00959
Compound::DB01291	CrC	Compound::DB01203
Compound::DB00842	CrC	Compound::DB00349
Compound::DB00289	CrC	Compound::DB00366
Compound::DB00324	CrC	Compound::DB00603
Compound::DB08906	CrC	Compound::DB00663
Compound::DB00784	CrC	Compound::DB04552
Compound::DB00999	CrC	Compound::DB01021
Compound::DB00231	CrC	Compound::DB01545
Compound::DB00759	CrC	Compound::DB00560
Compound::DB01489	CrC	Compound::DB00404
Compound::DB00872	CrC	Compound::DB01076
Compound::DB00754	CrC	Compound::DB00794
Compound::DB01550	CrC	Compound::DB01191
Compound::DB08795	CrC	Compound::DB00948
Compound::DB00871	CrC	Compound::DB01001
Compound::DB08936	CrC	Compound::DB04890
Compound::DB00393	CrC	Compound::DB00270
Compound::DB00489	CrC	Compound::DB00187
Compound::DB08970	CrC	Compound::DB01047
Compound::DB05245	CrC	Compound::DB01015
Compound::DB00219	CrC	Compound::DB00473
Compound::DB00125	CrC	Compound::DB00123
Compound::DB00978	CrC	Compound::DB01208
Compound::DB01501	CrC	Compound::DB01081
Compound::DB00257	CrC	Compound::DB00836
Compound::DB00535	CrC	Compound::DB01332
Compound::DB00850	CrC	Compound::DB01149
Compound::DB00994	CrC	Compound::DB00479
Compound::DB00240	CrC	Compound::DB01260
Compound::DB08990	CrC	Compound::DB01231
Compound::DB06148	CrC	Compound::DB00433
Compound::DB01604	CrC	Compound::DB00948
Compound::DB01420	CrC	Compound::DB00957
Compound::DB00850	CrC	Compound::DB01239
Compound::DB01061	CrC	Compound::DB01060
Compound::DB00726	CrC	Compound::DB01142
Compound::DB01620	CrC	Compound::DB08800
Compound::DB00571	CrC	Compound::DB00264
Compound::DB00977	CrC	Compound::DB04573
Compound::DB00850	CrC	Compound::DB01063
Compound::DB00676	CrC	Compound::DB00498
Compound::DB08799	CrC	Compound::DB00792
Compound::DB00256	CrC	Compound::DB00618
Compound::DB00393	CrC	Compound::DB01023
Compound::DB00136	CrC	Compound::DB01436
Compound::DB00836	CrC	Compound::DB00354
Compound::DB00634	CrC	Compound::DB00345
Compound::DB00745	CrC	Compound::DB08990
Compound::DB01299	CrC	Compound::DB00634
Compound::DB01415	CrC	Compound::DB01066
Compound::DB01624	CrC	Compound::DB00341
Compound::DB01146	CrC	Compound::DB01075
Compound::DB04575	CrC	Compound::DB04574
Compound::DB01237	CrC	Compound::DB01114
Compound::DB06150	CrC	Compound::DB01015
Compound::DB01621	CrC	Compound::DB00902
Compound::DB00752	CrC	Compound::DB00754
Compound::DB00475	CrC	Compound::DB00363
Compound::DB00572	CrC	Compound::DB00725
Compound::DB00396	CrC	Compound::DB00769
Compound::DB00652	CrC	Compound::DB00504
Compound::DB00540	CrC	Compound::DB00719
Compound::DB01364	CrC	Compound::DB00292
Compound::DB01621	CrC	Compound::DB01224
Compound::DB01246	CrC	Compound::DB00508
Compound::DB00334	CrC	Compound::DB00363
Compound::DB00892	CrC	Compound::DB01233
Compound::DB01577	CrC	Compound::DB00182
Compound::DB01354	CrC	Compound::DB01355
Compound::DB09002	CrC	Compound::DB00645
Compound::DB00753	CrC	Compound::DB01159
Compound::DB00191	CrC	Compound::DB00120
Compound::DB01418	CrC	Compound::DB00946
Compound::DB00813	CrC	Compound::DB00561
Compound::DB00573	CrC	Compound::DB00788
Compound::DB00709	CrC	Compound::DB00879
Compound::DB00813	CrC	Compound::DB00245
Compound::DB01142	CrC	Compound::DB01151
Compound::DB00288	CrC	Compound::DB00860
Compound::DB01327	CrC	Compound::DB01416
Compound::DB00539	CrC	Compound::DB00735
Compound::DB00547	CrC	Compound::DB01013
Compound::DB01626	CrC	Compound::DB00191
Compound::DB01415	CrC	Compound::DB00438
Compound::DB00972	CrC	Compound::DB00408
Compound::DB01623	CrC	Compound::DB01614
Compound::DB08996	CrC	Compound::DB09000
Compound::DB04837	CrC	Compound::DB00458
Compound::DB01550	CrC	Compound::DB00914
Compound::DB00217	CrC	Compound::DB00852
Compound::DB01603	CrC	Compound::DB08795
Compound::DB00390	CrC	Compound::DB01078
Compound::DB00721	CrC	Compound::DB00892
Compound::DB00321	CrC	Compound::DB01237
Compound::DB00396	CrC	Compound::DB00717
Compound::DB00153	CrC	Compound::DB02300
Compound::DB01595	CrC	Compound::DB00712
Compound::DB00829	CrC	Compound::DB01544
Compound::DB00247	CrC	Compound::DB01200
Compound::DB00656	CrC	Compound::DB00557
Compound::DB00153	CrC	Compound::DB01070
Compound::DB00813	CrC	Compound::DB00925
Compound::DB01576	CrC	Compound::DB00600
Compound::DB00940	CrC	Compound::DB00344
Compound::DB00896	CrC	Compound::DB00588
Compound::DB01403	CrC	Compound::DB01242
Compound::DB01321	CrC	Compound::DB00778
Compound::DB00576	CrC	Compound::DB06150
Compound::DB01075	CrC	Compound::DB01616
Compound::DB00477	CrC	Compound::DB00508
Compound::DB01382	CrC	Compound::DB01581
Compound::DB01115	CrC	Compound::DB01054
Compound::DB04837	CrC	Compound::DB00836
Compound::DB00829	CrC	Compound::DB01588
Compound::DB00865	CrC	Compound::DB01227
Compound::DB00689	CrC	Compound::DB00923
Compound::DB00812	CrC	Compound::DB00991
Compound::DB00570	CrC	Compound::DB00361
Compound::DB00177	CrC	Compound::DB00796
Compound::DB00836	CrC	Compound::DB00647
Compound::DB00572	CrC	Compound::DB00979
Compound::DB08976	CrC	Compound::DB01419
Compound::DB08943	CrC	Compound::DB01153
Compound::DB00333	CrC	Compound::DB00836
Compound::DB00741	CrC	Compound::DB01406
Compound::DB00671	CrC	Compound::DB01414
Compound::DB00537	CrC	Compound::DB00487
Compound::DB00151	CrC	Compound::DB00160
Compound::DB00838	CrC	Compound::DB00959
Compound::DB01403	CrC	Compound::DB08996
Compound::DB00376	CrC	Compound::DB01231
Compound::DB00489	CrC	Compound::DB00308
Compound::DB00136	CrC	Compound::DB00153
Compound::DB00669	CrC	Compound::DB00953
Compound::DB00838	CrC	Compound::DB00180
Compound::DB00578	CrC	Compound::DB00485
Compound::DB00894	CrC	Compound::DB00624
Compound::DB04839	CrC	Compound::DB00603
Compound::DB01415	CrC	Compound::DB00456
Compound::DB01069	CrC	Compound::DB00924
Compound::DB00422	CrC	Compound::DB00424
Compound::DB00195	CrC	Compound::DB01580
Compound::DB00223	CrC	Compound::DB00764
Compound::DB06710	CrC	Compound::DB00294
Compound::DB00735	CrC	Compound::DB00476
Compound::DB01234	CrC	Compound::DB00764
Compound::DB00950	CrC	Compound::DB01231
Compound::DB00877	CrC	Compound::DB00864
Compound::DB00726	CrC	Compound::DB08802
Compound::DB00676	CrC	Compound::DB01009
Compound::DB01036	CrC	Compound::DB01237
Compound::DB00942	CrC	Compound::DB00986
Compound::DB00288	CrC	Compound::DB00591
Compound::DB00780	CrC	Compound::DB00191
Compound::DB01399	CrC	Compound::DB00861
Compound::DB00477	CrC	Compound::DB00349
Compound::DB01151	CrC	Compound::DB00458
Compound::DB00752	CrC	Compound::DB01579
Compound::DB00573	CrC	Compound::DB01173
Compound::DB01231	CrC	Compound::DB01176
Compound::DB00896	CrC	Compound::DB00846
Compound::DB06718	CrC	Compound::DB01406
Compound::DB01130	CrC	Compound::DB01222
Compound::DB01550	CrC	Compound::DB00865
Compound::DB01252	CrC	Compound::DB01232
Compound::DB00465	CrC	Compound::DB00500
Compound::DB00220	CrC	Compound::DB00224
Compound::DB00288	CrC	Compound::DB01260
Compound::DB00535	CrC	Compound::DB01415
Compound::DB00856	CrC	Compound::DB00195
Compound::DB00784	CrC	Compound::DB08984
Compound::DB04843	CrC	Compound::DB00950
Compound::DB08998	CrC	Compound::DB00525
Compound::DB04574	CrC	Compound::DB04573
Compound::DB00151	CrC	Compound::DB00145
Compound::DB01428	CrC	Compound::DB00600
Compound::DB00190	CrC	Compound::DB00668
Compound::DB00394	CrC	Compound::DB06781
Compound::DB01603	CrC	Compound::DB01147
Compound::DB00578	CrC	Compound::DB00607
Compound::DB00229	CrC	Compound::DB00430
Compound::DB01047	CrC	Compound::DB00324
Compound::DB01619	CrC	Compound::DB00719
Compound::DB00717	CrC	Compound::DB00367
Compound::DB01112	CrC	Compound::DB00438
Compound::DB01239	CrC	Compound::DB08800
Compound::DB01326	CrC	Compound::DB08795
Compound::DB00576	CrC	Compound::DB08798
Compound::DB00867	CrC	Compound::DB08941
Compound::DB00586	CrC	Compound::DB01283
Compound::DB00968	CrC	Compound::DB00244
Compound::DB00719	CrC	Compound::DB00434
Compound::DB00632	CrC	Compound::DB06689
Compound::DB00571	CrC	Compound::DB00289
Compound::DB00155	CrC	Compound::DB00143
Compound::DB01075	CrC	Compound::DB00924
Compound::DB00539	CrC	Compound::DB00925
Compound::DB01420	CrC	Compound::DB08866
Compound::DB01092	CrC	Compound::DB01396
Compound::DB08970	CrC	Compound::DB00620
Compound::DB01047	CrC	Compound::DB01222
Compound::DB01246	CrC	Compound::DB00776
Compound::DB06148	CrC	Compound::DB01176
Compound::DB01081	CrC	Compound::DB01138
Compound::DB08996	CrC	Compound::DB01142
Compound::DB01023	CrC	Compound::DB00528
Compound::DB01149	CrC	Compound::DB00623
Compound::DB00836	CrC	Compound::DB00561
Compound::DB00676	CrC	Compound::DB08799
Compound::DB00797	CrC	Compound::DB06711
Compound::DB00751	CrC	Compound::DB01619
Compound::DB00540	CrC	Compound::DB06148
Compound::DB01069	CrC	Compound::DB00564
Compound::DB01165	CrC	Compound::DB01059
Compound::DB01298	CrC	Compound::DB01582
Compound::DB06707	CrC	Compound::DB00221
Compound::DB00420	CrC	Compound::DB09014
Compound::DB00902	CrC	Compound::DB00751
Compound::DB00118	CrC	Compound::DB00194
Compound::DB00598	CrC	Compound::DB00542
Compound::DB01036	CrC	Compound::DB06702
Compound::DB01624	CrC	Compound::DB00850
Compound::DB00420	CrC	Compound::DB08802
Compound::DB00294	CrC	Compound::DB00624
Compound::DB01283	CrC	Compound::DB00939
Compound::DB04938	CrC	Compound::DB00925
Compound::DB01063	CrC	Compound::DB01615
Compound::DB00841	CrC	Compound::DB01288
Compound::DB00396	CrC	Compound::DB00378
Compound::DB01212	CrC	Compound::DB01328
Compound::DB01603	CrC	Compound::DB01061
Compound::DB00680	CrC	Compound::DB00623
Compound::DB00352	CrC	Compound::DB01033
Compound::DB06218	CrC	Compound::DB01121
Compound::DB01615	CrC	Compound::DB00508
Compound::DB00631	CrC	Compound::DB00928
Compound::DB00378	CrC	Compound::DB00990
Compound::DB00564	CrC	Compound::DB00434
Compound::DB00333	CrC	Compound::DB00257
Compound::DB01351	CrC	Compound::DB00599
Compound::DB01420	CrC	Compound::DB00717
Compound::DB08996	CrC	Compound::DB00647
Compound::DB00584	CrC	Compound::DB00790
Compound::DB00631	CrC	Compound::DB00242
Compound::DB00811	CrC	Compound::DB00631
Compound::DB01182	CrC	Compound::DB00600
Compound::DB01047	CrC	Compound::DB01013
Compound::DB01066	CrC	Compound::DB00438
Compound::DB01075	CrC	Compound::DB00792
Compound::DB00250	CrC	Compound::DB06729
Compound::DB02300	CrC	Compound::DB00169
Compound::DB00777	CrC	Compound::DB01239
Compound::DB00839	CrC	Compound::DB00634
Compound::DB00836	CrC	Compound::DB01231
Compound::DB00713	CrC	Compound::DB00948
Compound::DB01166	CrC	Compound::DB01238
Compound::DB01148	CrC	Compound::DB09002
Compound::DB01621	CrC	Compound::DB01614
Compound::DB00130	CrC	Compound::DB00155
Compound::DB01086	CrC	Compound::DB01035
Compound::DB00274	CrC	Compound::DB01328
Compound::DB00277	CrC	Compound::DB00201
Compound::DB00655	CrC	Compound::DB04575
Compound::DB00229	CrC	Compound::DB01413
Compound::DB01625	CrC	Compound::DB00496
Compound::DB00192	CrC	Compound::DB00934
Compound::DB00458	CrC	Compound::DB00768
Compound::DB01231	CrC	Compound::DB00561
Compound::DB00252	CrC	Compound::DB01320
Compound::DB00874	CrC	Compound::DB00243
Compound::DB01037	CrC	Compound::DB06770
Compound::DB01466	CrC	Compound::DB00327
Compound::DB01150	CrC	Compound::DB01112
Compound::DB00376	CrC	Compound::DB01062
Compound::DB04837	CrC	Compound::DB01069
Compound::DB00475	CrC	Compound::DB00349
Compound::DB00334	CrC	Compound::DB00543
Compound::DB00813	CrC	Compound::DB00771
Compound::DB00722	CrC	Compound::DB00731
Compound::DB01140	CrC	Compound::DB01060
Compound::DB01239	CrC	Compound::DB08802
Compound::DB01558	CrC	Compound::DB00186
Compound::DB00527	CrC	Compound::DB01118
Compound::DB00477	CrC	Compound::DB01242
Compound::DB00689	CrC	Compound::DB01602
Compound::DB06781	CrC	Compound::DB01047
Compound::DB00680	CrC	Compound::DB00933
Compound::DB00649	CrC	Compound::DB00432
Compound::DB00452	CrC	Compound::DB06696
Compound::DB01176	CrC	Compound::DB00557
Compound::DB01621	CrC	Compound::DB01071
