source	metaedge	target
Disease::DOID:263	DaG	Gene::3439
Disease::DOID:1909	DaG	Gene::1462
Disease::DOID:10763	DaG	Gene::1394
Disease::DOID:2394	DaG	Gene::4313
Disease::DOID:12849	DaG	Gene::5021
Disease::DOID:10283	DaG	Gene::1387
Disease::DOID:14330	DaG	Gene::3363
Disease::DOID:8850	DaG	Gene::8562
Disease::DOID:10652	DaG	Gene::5524
Disease::DOID:10763	DaG	Gene::2876
Disease::DOID:14330	DaG	Gene::4524
Disease::DOID:2986	DaG	Gene::9526
Disease::DOID:1936	DaG	Gene::4982
Disease::DOID:3571	DaG	Gene::51201
Disease::DOID:6364	DaG	Gene::5241
Disease::DOID:9970	DaG	Gene::5105
Disease::DOID:12849	DaG	Gene::3600
Disease::DOID:13378	DaG	Gene::1401
Disease::DOID:10534	DaG	Gene::4318
Disease::DOID:8986	DaG	Gene::7124
Disease::DOID:10283	DaG	Gene::23411
Disease::DOID:4989	DaG	Gene::7040
Disease::DOID:2394	DaG	Gene::55858
Disease::DOID:2355	DaG	Gene::1111
Disease::DOID:635	DaG	Gene::8540
Disease::DOID:10283	DaG	Gene::8702
Disease::DOID:9352	DaG	Gene::56999
Disease::DOID:2531	DaG	Gene::7704
Disease::DOID:8850	DaG	Gene::3645
Disease::DOID:3571	DaG	Gene::192286
Disease::DOID:10763	DaG	Gene::492
Disease::DOID:9744	DaG	Gene::51083
Disease::DOID:2986	DaG	Gene::9375
Disease::DOID:0050741	DaG	Gene::4129
Disease::DOID:9074	DaG	Gene::6737
Disease::DOID:1324	DaG	Gene::25797
Disease::DOID:2355	DaG	Gene::5551
Disease::DOID:10283	DaG	Gene::598
Disease::DOID:3070	DaG	Gene::10397
Disease::DOID:12849	DaG	Gene::8224
Disease::DOID:9835	DaG	Gene::157807
Disease::DOID:635	DaG	Gene::6351
Disease::DOID:3083	DaG	Gene::6775
Disease::DOID:3393	DaG	Gene::183
Disease::DOID:11476	DaG	Gene::6648
Disease::DOID:3310	DaG	Gene::11127
Disease::DOID:1936	DaG	Gene::1269
Disease::DOID:2355	DaG	Gene::3440
Disease::DOID:824	DaG	Gene::2247
Disease::DOID:9008	DaG	Gene::56246
Disease::DOID:11612	DaG	Gene::6337
Disease::DOID:2377	DaG	Gene::958
Disease::DOID:2841	DaG	Gene::5141
Disease::DOID:10763	DaG	Gene::4363
Disease::DOID:2986	DaG	Gene::2359
Disease::DOID:4989	DaG	Gene::5068
Disease::DOID:11612	DaG	Gene::25865
Disease::DOID:11934	DaG	Gene::4317
Disease::DOID:10763	DaG	Gene::51083
Disease::DOID:1781	DaG	Gene::80142
Disease::DOID:3393	DaG	Gene::1152
Disease::DOID:10763	DaG	Gene::3908
Disease::DOID:10534	DaG	Gene::84634
Disease::DOID:4045	DaG	Gene::7030
Disease::DOID:10283	DaG	Gene::9
Disease::DOID:10283	DaG	Gene::2650
Disease::DOID:5419	DaG	Gene::1565
Disease::DOID:7148	DaG	Gene::5657
Disease::DOID:8850	DaG	Gene::10847
Disease::DOID:4989	DaG	Gene::6814
Disease::DOID:635	DaG	Gene::3106
Disease::DOID:1319	DaG	Gene::92335
Disease::DOID:1459	DaG	Gene::10745
Disease::DOID:2986	DaG	Gene::891
Disease::DOID:1909	DaG	Gene::2035
Disease::DOID:2377	DaG	Gene::6723
Disease::DOID:3571	DaG	Gene::1571
Disease::DOID:1612	DaG	Gene::3190
Disease::DOID:1686	DaG	Gene::59272
