source	metaedge	target
Disease::DOID:986	DdG	Gene::26059
Disease::DOID:9206	DdG	Gene::10651
Disease::DOID:5419	DdG	Gene::64223
Disease::DOID:3083	DdG	Gene::345930
Disease::DOID:5419	DdG	Gene::137797
Disease::DOID:7148	DdG	Gene::25
Disease::DOID:14227	DdG	Gene::160419
Disease::DOID:1793	DdG	Gene::2977
Disease::DOID:8893	DdG	Gene::2940
Disease::DOID:2986	DdG	Gene::1116
Disease::DOID:9008	DdG	Gene::3000
Disease::DOID:7148	DdG	Gene::2186
Disease::DOID:10652	DdG	Gene::60314
Disease::DOID:7147	DdG	Gene::6872
Disease::DOID:13223	DdG	Gene::4881
Disease::DOID:3083	DdG	Gene::219844
Disease::DOID:1793	DdG	Gene::9148
Disease::DOID:0050741	DdG	Gene::26060
Disease::DOID:7148	DdG	Gene::6749
Disease::DOID:14330	DdG	Gene::1977
Disease::DOID:7693	DdG	Gene::2017
Disease::DOID:13223	DdG	Gene::26034
Disease::DOID:14330	DdG	Gene::998
Disease::DOID:635	DdG	Gene::3632
Disease::DOID:0050742	DdG	Gene::90390
Disease::DOID:635	DdG	Gene::2205
Disease::DOID:3312	DdG	Gene::54707
Disease::DOID:418	DdG	Gene::55893
Disease::DOID:11612	DdG	Gene::80758
Disease::DOID:8577	DdG	Gene::6584
Disease::DOID:8577	DdG	Gene::50808
Disease::DOID:1612	DdG	Gene::4609
Disease::DOID:332	DdG	Gene::252969
Disease::DOID:0050156	DdG	Gene::9639
Disease::DOID:13223	DdG	Gene::962
Disease::DOID:332	DdG	Gene::11044
Disease::DOID:9008	DdG	Gene::6272
Disease::DOID:332	DdG	Gene::5831
Disease::DOID:1909	DdG	Gene::23299
Disease::DOID:8893	DdG	Gene::84629
Disease::DOID:0050742	DdG	Gene::1399
Disease::DOID:2986	DdG	Gene::3746
Disease::DOID:9206	DdG	Gene::55686
Disease::DOID:14330	DdG	Gene::132
Disease::DOID:2986	DdG	Gene::123
Disease::DOID:3312	DdG	Gene::390191
Disease::DOID:263	DdG	Gene::793
Disease::DOID:2531	DdG	Gene::64221
Disease::DOID:0050741	DdG	Gene::8382
Disease::DOID:986	DdG	Gene::84445
Disease::DOID:2394	DdG	Gene::203190
Disease::DOID:219	DdG	Gene::7367
Disease::DOID:9970	DdG	Gene::119695
Disease::DOID:11612	DdG	Gene::401236
Disease::DOID:14227	DdG	Gene::125972
Disease::DOID:1793	DdG	Gene::6124
Disease::DOID:263	DdG	Gene::9068
Disease::DOID:7693	DdG	Gene::216
Disease::DOID:332	DdG	Gene::84684
Disease::DOID:12365	DdG	Gene::274
Disease::DOID:0050156	DdG	Gene::79048
Disease::DOID:635	DdG	Gene::9020
Disease::DOID:10652	DdG	Gene::9085
Disease::DOID:0050742	DdG	Gene::28514
Disease::DOID:0050156	DdG	Gene::440026
Disease::DOID:9008	DdG	Gene::2521
Disease::DOID:5419	DdG	Gene::959
Disease::DOID:5419	DdG	Gene::22850
Disease::DOID:986	DdG	Gene::9632
Disease::DOID:1793	DdG	Gene::100529215
Disease::DOID:635	DdG	Gene::54664
Disease::DOID:1793	DdG	Gene::345895
Disease::DOID:2394	DdG	Gene::7079
Disease::DOID:8577	DdG	Gene::54843
Disease::DOID:1793	DdG	Gene::664
Disease::DOID:11612	DdG	Gene::161394
Disease::DOID:8893	DdG	Gene::377677
Disease::DOID:14227	DdG	Gene::55647
Disease::DOID:1793	DdG	Gene::4925
Disease::DOID:418	DdG	Gene::6392
Disease::DOID:2986	DdG	Gene::7855
Disease::DOID:8778	DdG	Gene::5243
Disease::DOID:14330	DdG	Gene::51701
Disease::DOID:11612	DdG	Gene::56967
Disease::DOID:0050742	DdG	Gene::285812
Disease::DOID:2531	DdG	Gene::6095
Disease::DOID:9206	DdG	Gene::54869
Disease::DOID:2531	DdG	Gene::2949
Disease::DOID:8778	DdG	Gene::26061
Disease::DOID:9206	DdG	Gene::5708
Disease::DOID:332	DdG	Gene::10868
Disease::DOID:263	DdG	Gene::1776
Disease::DOID:418	DdG	Gene::1027
Disease::DOID:2531	DdG	Gene::2200
Disease::DOID:0050156	DdG	Gene::55768
Disease::DOID:7148	DdG	Gene::58517
Disease::DOID:8893	DdG	Gene::1112
Disease::DOID:3083	DdG	Gene::83539
Disease::DOID:10652	DdG	Gene::4185
Disease::DOID:10652	DdG	Gene::27132
Disease::DOID:5419	DdG	Gene::113829
Disease::DOID:332	DdG	Gene::149483
Disease::DOID:1612	DdG	Gene::1756
Disease::DOID:12365	DdG	Gene::10591
Disease::DOID:9970	DdG	Gene::6038
Disease::DOID:0050741	DdG	Gene::29914
Disease::DOID:1612	DdG	Gene::55084
Disease::DOID:635	DdG	Gene::23263
Disease::DOID:418	DdG	Gene::4249
Disease::DOID:1612	DdG	Gene::4311
Disease::DOID:9206	DdG	Gene::4883
Disease::DOID:2986	DdG	Gene::56882
Disease::DOID:8893	DdG	Gene::6156
Disease::DOID:8778	DdG	Gene::375190
Disease::DOID:2986	DdG	Gene::9128
Disease::DOID:8577	DdG	Gene::55074
Disease::DOID:1909	DdG	Gene::8796
Disease::DOID:9206	DdG	Gene::825
Disease::DOID:14227	DdG	Gene::147945
Disease::DOID:9008	DdG	Gene::813
Disease::DOID:1793	DdG	Gene::56100
Disease::DOID:0050156	DdG	Gene::8073
Disease::DOID:635	DdG	Gene::9655
Disease::DOID:332	DdG	Gene::54386
Disease::DOID:12365	DdG	Gene::84321
Disease::DOID:1324	DdG	Gene::4067
Disease::DOID:8893	DdG	Gene::57864
Disease::DOID:10652	DdG	Gene::8317
Disease::DOID:7693	DdG	Gene::83543
Disease::DOID:824	DdG	Gene::389072
Disease::DOID:2531	DdG	Gene::10810
Disease::DOID:1324	DdG	Gene::9486
Disease::DOID:14330	DdG	Gene::84885
Disease::DOID:12365	DdG	Gene::54674
Disease::DOID:8778	DdG	Gene::1349
Disease::DOID:8577	DdG	Gene::79154
Disease::DOID:9008	DdG	Gene::10783
Disease::DOID:14330	DdG	Gene::7247
Disease::DOID:418	DdG	Gene::583
Disease::DOID:8778	DdG	Gene::166647
Disease::DOID:1909	DdG	Gene::3156
Disease::DOID:263	DdG	Gene::55735
Disease::DOID:1793	DdG	Gene::1837
Disease::DOID:635	DdG	Gene::7248
Disease::DOID:8778	DdG	Gene::10206
Disease::DOID:7693	DdG	Gene::53834
Disease::DOID:1909	DdG	Gene::57822
Disease::DOID:3083	DdG	Gene::23175
Disease::DOID:10652	DdG	Gene::1020
Disease::DOID:7693	DdG	Gene::10638
Disease::DOID:1324	DdG	Gene::60494
Disease::DOID:1793	DdG	Gene::10768
Disease::DOID:12365	DdG	Gene::4221
Disease::DOID:2531	DdG	Gene::57178
Disease::DOID:3083	DdG	Gene::90233
Disease::DOID:10652	DdG	Gene::403
Disease::DOID:219	DdG	Gene::5825
Disease::DOID:9970	DdG	Gene::5164
Disease::DOID:986	DdG	Gene::8774
Disease::DOID:219	DdG	Gene::9912
Disease::DOID:2531	DdG	Gene::975
Disease::DOID:635	DdG	Gene::6297
Disease::DOID:7148	DdG	Gene::9987
Disease::DOID:0050156	DdG	Gene::117143
Disease::DOID:14227	DdG	Gene::6687
Disease::DOID:7693	DdG	Gene::8452
Disease::DOID:2531	DdG	Gene::2534
Disease::DOID:635	DdG	Gene::284613
Disease::DOID:11612	DdG	Gene::375035
Disease::DOID:12365	DdG	Gene::85444
Disease::DOID:14330	DdG	Gene::25875
Disease::DOID:263	DdG	Gene::140462
Disease::DOID:635	DdG	Gene::5217
Disease::DOID:332	DdG	Gene::286122
Disease::DOID:0050742	DdG	Gene::115207
Disease::DOID:5419	DdG	Gene::57406
Disease::DOID:2986	DdG	Gene::10949
Disease::DOID:418	DdG	Gene::51669
Disease::DOID:332	DdG	Gene::147699
Disease::DOID:263	DdG	Gene::670
Disease::DOID:3083	DdG	Gene::8128
Disease::DOID:1793	DdG	Gene::80298
Disease::DOID:7693	DdG	Gene::2634
Disease::DOID:5419	DdG	Gene::284194
Disease::DOID:219	DdG	Gene::824
Disease::DOID:0050742	DdG	Gene::983
Disease::DOID:7147	DdG	Gene::51729
Disease::DOID:10652	DdG	Gene::1788
Disease::DOID:1909	DdG	Gene::6698
Disease::DOID:1612	DdG	Gene::6422
Disease::DOID:332	DdG	Gene::7108
Disease::DOID:11612	DdG	Gene::11270
Disease::DOID:2531	DdG	Gene::217
Disease::DOID:9206	DdG	Gene::51200
Disease::DOID:2986	DdG	Gene::25819
Disease::DOID:418	DdG	Gene::6480
Disease::DOID:7693	DdG	Gene::6623
Disease::DOID:219	DdG	Gene::54438
Disease::DOID:1793	DdG	Gene::54808
Disease::DOID:263	DdG	Gene::10655
Disease::DOID:5419	DdG	Gene::7384
Disease::DOID:219	DdG	Gene::11252
Disease::DOID:12365	DdG	Gene::728929
Disease::DOID:2986	DdG	Gene::7779
Disease::DOID:1324	DdG	Gene::5698
Disease::DOID:2531	DdG	Gene::29911
Disease::DOID:7148	DdG	Gene::84271
Disease::DOID:8778	DdG	Gene::63928
Disease::DOID:7147	DdG	Gene::4665
Disease::DOID:2377	DdG	Gene::23022
Disease::DOID:8778	DdG	Gene::6223
Disease::DOID:9206	DdG	Gene::5887
Disease::DOID:8893	DdG	Gene::23678
Disease::DOID:0050156	DdG	Gene::4839
Disease::DOID:7693	DdG	Gene::57798
Disease::DOID:9008	DdG	Gene::718
Disease::DOID:8893	DdG	Gene::50862
Disease::DOID:263	DdG	Gene::32
Disease::DOID:418	DdG	Gene::25873
Disease::DOID:1793	DdG	Gene::283713
Disease::DOID:1324	DdG	Gene::26036
Disease::DOID:8893	DdG	Gene::79811
Disease::DOID:8893	DdG	Gene::7874
Disease::DOID:0050742	DdG	Gene::4616
Disease::DOID:7148	DdG	Gene::2962
Disease::DOID:1612	DdG	Gene::57678
Disease::DOID:11612	DdG	Gene::126433
Disease::DOID:986	DdG	Gene::131578
Disease::DOID:263	DdG	Gene::124936
Disease::DOID:5419	DdG	Gene::925
Disease::DOID:263	DdG	Gene::9377
Disease::DOID:11612	DdG	Gene::1573
Disease::DOID:10652	DdG	Gene::1258
Disease::DOID:14330	DdG	Gene::10923
Disease::DOID:8893	DdG	Gene::5865
Disease::DOID:9970	DdG	Gene::287
Disease::DOID:2986	DdG	Gene::1195
Disease::DOID:10283	DdG	Gene::998
Disease::DOID:7148	DdG	Gene::391322
Disease::DOID:219	DdG	Gene::5145
Disease::DOID:8778	DdG	Gene::5576
Disease::DOID:0050741	DdG	Gene::28986
Disease::DOID:8577	DdG	Gene::79589
Disease::DOID:2531	DdG	Gene::5906
Disease::DOID:1793	DdG	Gene::90411
Disease::DOID:14227	DdG	Gene::4956
Disease::DOID:2986	DdG	Gene::55905
Disease::DOID:635	DdG	Gene::6548
Disease::DOID:2531	DdG	Gene::23508
Disease::DOID:4481	DdG	Gene::6386
Disease::DOID:2394	DdG	Gene::63979
Disease::DOID:9008	DdG	Gene::221477
Disease::DOID:824	DdG	Gene::10092
Disease::DOID:0050156	DdG	Gene::7525
Disease::DOID:635	DdG	Gene::6138
Disease::DOID:12365	DdG	Gene::8926
Disease::DOID:5419	DdG	Gene::84106
Disease::DOID:7148	DdG	Gene::10844
Disease::DOID:8577	DdG	Gene::206358
Disease::DOID:2531	DdG	Gene::23760
Disease::DOID:9970	DdG	Gene::8497
Disease::DOID:1909	DdG	Gene::9538
Disease::DOID:9008	DdG	Gene::8859
Disease::DOID:8577	DdG	Gene::5570
Disease::DOID:263	DdG	Gene::63874
Disease::DOID:1909	DdG	Gene::146760
Disease::DOID:8577	DdG	Gene::7263
Disease::DOID:986	DdG	Gene::9208
Disease::DOID:2531	DdG	Gene::445347
Disease::DOID:2986	DdG	Gene::1232
Disease::DOID:9008	DdG	Gene::7088
Disease::DOID:14330	DdG	Gene::3035
Disease::DOID:0050742	DdG	Gene::647087
Disease::DOID:1324	DdG	Gene::10154
Disease::DOID:8577	DdG	Gene::7105
Disease::DOID:7148	DdG	Gene::10424
Disease::DOID:219	DdG	Gene::7385
Disease::DOID:9206	DdG	Gene::5803
Disease::DOID:7693	DdG	Gene::84132
Disease::DOID:219	DdG	Gene::4128
Disease::DOID:5419	DdG	Gene::375318
Disease::DOID:9008	DdG	Gene::96459
Disease::DOID:635	DdG	Gene::57326
Disease::DOID:11612	DdG	Gene::1666
Disease::DOID:13223	DdG	Gene::51586
Disease::DOID:3083	DdG	Gene::85360
Disease::DOID:1909	DdG	Gene::1602
Disease::DOID:3083	DdG	Gene::7728
Disease::DOID:0050156	DdG	Gene::2823
Disease::DOID:8893	DdG	Gene::56998
Disease::DOID:5419	DdG	Gene::1102
Disease::DOID:8778	DdG	Gene::6304
Disease::DOID:1612	DdG	Gene::847
Disease::DOID:219	DdG	Gene::63924
Disease::DOID:12365	DdG	Gene::338917
Disease::DOID:8778	DdG	Gene::49855
Disease::DOID:635	DdG	Gene::9057
Disease::DOID:10763	DdG	Gene::93624
Disease::DOID:12365	DdG	Gene::4931
Disease::DOID:263	DdG	Gene::549
Disease::DOID:986	DdG	Gene::64682
Disease::DOID:5419	DdG	Gene::8427
Disease::DOID:14330	DdG	Gene::23158
Disease::DOID:3083	DdG	Gene::51274
Disease::DOID:1324	DdG	Gene::29942
Disease::DOID:13223	DdG	Gene::4094
Disease::DOID:12365	DdG	Gene::23568
Disease::DOID:332	DdG	Gene::197407
Disease::DOID:0050742	DdG	Gene::2172
Disease::DOID:0050742	DdG	Gene::54617
Disease::DOID:8893	DdG	Gene::23242
Disease::DOID:2531	DdG	Gene::3212
Disease::DOID:1793	DdG	Gene::727
Disease::DOID:2986	DdG	Gene::8545
Disease::DOID:14227	DdG	Gene::51320
Disease::DOID:5419	DdG	Gene::55756
Disease::DOID:0050156	DdG	Gene::153579
Disease::DOID:635	DdG	Gene::9975
Disease::DOID:14227	DdG	Gene::64446
Disease::DOID:0050742	DdG	Gene::8289
Disease::DOID:418	DdG	Gene::25953
Disease::DOID:219	DdG	Gene::7098
Disease::DOID:8893	DdG	Gene::10313
Disease::DOID:1612	DdG	Gene::4147
Disease::DOID:8778	DdG	Gene::1329
Disease::DOID:332	DdG	Gene::79791
Disease::DOID:635	DdG	Gene::5500
Disease::DOID:2531	DdG	Gene::216
Disease::DOID:5419	DdG	Gene::2811
Disease::DOID:1324	DdG	Gene::23005
Disease::DOID:263	DdG	Gene::1428
Disease::DOID:418	DdG	Gene::2109
Disease::DOID:2986	DdG	Gene::23592
Disease::DOID:986	DdG	Gene::51512
Disease::DOID:0050741	DdG	Gene::90835
Disease::DOID:14330	DdG	Gene::594
Disease::DOID:635	DdG	Gene::3603
Disease::DOID:3393	DdG	Gene::126306
Disease::DOID:1612	DdG	Gene::3745
Disease::DOID:5419	DdG	Gene::10225
Disease::DOID:2531	DdG	Gene::54463
Disease::DOID:8893	DdG	Gene::6744
Disease::DOID:263	DdG	Gene::57530
Disease::DOID:9008	DdG	Gene::473
Disease::DOID:0050741	DdG	Gene::88745
Disease::DOID:418	DdG	Gene::291
Disease::DOID:11612	DdG	Gene::114805
Disease::DOID:1612	DdG	Gene::10491
Disease::DOID:332	DdG	Gene::10277
Disease::DOID:1612	DdG	Gene::3628
Disease::DOID:9970	DdG	Gene::3667
Disease::DOID:824	DdG	Gene::25909
Disease::DOID:1612	DdG	Gene::145581
Disease::DOID:1909	DdG	Gene::55612
Disease::DOID:7148	DdG	Gene::91
Disease::DOID:2531	DdG	Gene::923
Disease::DOID:14227	DdG	Gene::729597
Disease::DOID:418	DdG	Gene::6207
Disease::DOID:219	DdG	Gene::788
Disease::DOID:1612	DdG	Gene::114818
Disease::DOID:3083	DdG	Gene::78991
Disease::DOID:3083	DdG	Gene::84938
Disease::DOID:1612	DdG	Gene::2719
Disease::DOID:9206	DdG	Gene::10006
Disease::DOID:7148	DdG	Gene::253959
Disease::DOID:8577	DdG	Gene::22903
Disease::DOID:5419	DdG	Gene::440026
Disease::DOID:263	DdG	Gene::57171
Disease::DOID:263	DdG	Gene::8416
Disease::DOID:332	DdG	Gene::163183
Disease::DOID:14227	DdG	Gene::158135
Disease::DOID:2531	DdG	Gene::7846
Disease::DOID:7693	DdG	Gene::285989
Disease::DOID:219	DdG	Gene::4121
Disease::DOID:219	DdG	Gene::489
Disease::DOID:8778	DdG	Gene::54482
Disease::DOID:12365	DdG	Gene::56673
Disease::DOID:7693	DdG	Gene::56131
Disease::DOID:10763	DdG	Gene::9744
Disease::DOID:219	DdG	Gene::80323
Disease::DOID:986	DdG	Gene::55633
Disease::DOID:1324	DdG	Gene::9142
Disease::DOID:219	DdG	Gene::4337
Disease::DOID:14330	DdG	Gene::2271
Disease::DOID:8893	DdG	Gene::29997
Disease::DOID:14330	DdG	Gene::3043
Disease::DOID:7148	DdG	Gene::57134
Disease::DOID:635	DdG	Gene::104
Disease::DOID:12365	DdG	Gene::114884
Disease::DOID:7148	DdG	Gene::1938
Disease::DOID:1793	DdG	Gene::6139
Disease::DOID:1793	DdG	Gene::79608
Disease::DOID:3083	DdG	Gene::359948
Disease::DOID:10652	DdG	Gene::122616
Disease::DOID:9206	DdG	Gene::8850
Disease::DOID:2986	DdG	Gene::55937
Disease::DOID:5419	DdG	Gene::119765
Disease::DOID:7148	DdG	Gene::1368
Disease::DOID:0050742	DdG	Gene::11143
Disease::DOID:7693	DdG	Gene::283635
Disease::DOID:3083	DdG	Gene::6161
Disease::DOID:2377	DdG	Gene::55327
Disease::DOID:2531	DdG	Gene::1791
Disease::DOID:5419	DdG	Gene::10762
Disease::DOID:2394	DdG	Gene::56259
Disease::DOID:7148	DdG	Gene::27252
Disease::DOID:14330	DdG	Gene::56675
Disease::DOID:8577	DdG	Gene::157285
Disease::DOID:8577	DdG	Gene::146223
Disease::DOID:12365	DdG	Gene::23552
Disease::DOID:5419	DdG	Gene::92259
Disease::DOID:1909	DdG	Gene::440712
Disease::DOID:8893	DdG	Gene::57161
Disease::DOID:14227	DdG	Gene::51593
Disease::DOID:635	DdG	Gene::5165
Disease::DOID:12365	DdG	Gene::10081
Disease::DOID:7693	DdG	Gene::25805
Disease::DOID:1909	DdG	Gene::222
Disease::DOID:332	DdG	Gene::84273
Disease::DOID:0050156	DdG	Gene::56922
Disease::DOID:12365	DdG	Gene::8313
Disease::DOID:5419	DdG	Gene::8270
Disease::DOID:9008	DdG	Gene::205
Disease::DOID:11612	DdG	Gene::3313
Disease::DOID:219	DdG	Gene::2317
Disease::DOID:12365	DdG	Gene::728734
Disease::DOID:8577	DdG	Gene::2549
Disease::DOID:0050741	DdG	Gene::5218
Disease::DOID:11612	DdG	Gene::123207
Disease::DOID:0050741	DdG	Gene::84933
Disease::DOID:1612	DdG	Gene::54741
Disease::DOID:1909	DdG	Gene::2196
Disease::DOID:8893	DdG	Gene::84441
Disease::DOID:1793	DdG	Gene::4897
Disease::DOID:12365	DdG	Gene::498
Disease::DOID:263	DdG	Gene::18
Disease::DOID:8893	DdG	Gene::56967
Disease::DOID:1324	DdG	Gene::8631
Disease::DOID:418	DdG	Gene::54784
Disease::DOID:263	DdG	Gene::267
Disease::DOID:5419	DdG	Gene::388667
Disease::DOID:2394	DdG	Gene::5894
Disease::DOID:263	DdG	Gene::1491
Disease::DOID:9206	DdG	Gene::7326
Disease::DOID:8893	DdG	Gene::162282
Disease::DOID:14330	DdG	Gene::79912
Disease::DOID:3083	DdG	Gene::55625
Disease::DOID:7693	DdG	Gene::51676
Disease::DOID:219	DdG	Gene::9552
Disease::DOID:8778	DdG	Gene::28998
Disease::DOID:0050742	DdG	Gene::51122
Disease::DOID:263	DdG	Gene::50808
Disease::DOID:7693	DdG	Gene::552900
Disease::DOID:3393	DdG	Gene::60437
Disease::DOID:9008	DdG	Gene::79720
Disease::DOID:11612	DdG	Gene::56107
Disease::DOID:14227	DdG	Gene::5528
Disease::DOID:263	DdG	Gene::4051
Disease::DOID:7693	DdG	Gene::10276
Disease::DOID:10652	DdG	Gene::10683
Disease::DOID:14330	DdG	Gene::6571
Disease::DOID:11612	DdG	Gene::122525
Disease::DOID:8577	DdG	Gene::57568
Disease::DOID:2394	DdG	Gene::7846
Disease::DOID:11612	DdG	Gene::594
Disease::DOID:986	DdG	Gene::29115
Disease::DOID:5419	DdG	Gene::2578
Disease::DOID:2531	DdG	Gene::1291
Disease::DOID:7148	DdG	Gene::10541
Disease::DOID:418	DdG	Gene::8857
Disease::DOID:263	DdG	Gene::84952
Disease::DOID:0050156	DdG	Gene::7570
Disease::DOID:263	DdG	Gene::80221
Disease::DOID:635	DdG	Gene::664
Disease::DOID:1612	DdG	Gene::27303
Disease::DOID:1324	DdG	Gene::64848
Disease::DOID:635	DdG	Gene::26958
Disease::DOID:11612	DdG	Gene::54998
