source	metaedge	target
Disease::DOID:14268	DlA	Anatomy::UBERON:0002110
Disease::DOID:14221	DlA	Anatomy::UBERON:0001980
Disease::DOID:11934	DlA	Anatomy::UBERON:0001760
Disease::DOID:1115	DlA	Anatomy::UBERON:0002360
Disease::DOID:9074	DlA	Anatomy::UBERON:0002389
Disease::DOID:635	DlA	Anatomy::UBERON:0000178
Disease::DOID:6364	DlA	Anatomy::UBERON:0000955
Disease::DOID:1324	DlA	Anatomy::UBERON:0000977
Disease::DOID:10941	DlA	Anatomy::UBERON:0002286
Disease::DOID:5041	DlA	Anatomy::UBERON:0002040
Disease::DOID:3565	DlA	Anatomy::UBERON:0001646
Disease::DOID:5408	DlA	Anatomy::UBERON:0001679
Disease::DOID:4362	DlA	Anatomy::UBERON:0000997
Disease::DOID:5419	DlA	Anatomy::UBERON:0001893
Disease::DOID:9352	DlA	Anatomy::UBERON:0002103
Disease::DOID:184	DlA	Anatomy::UBERON:0000026
Disease::DOID:2994	DlA	Anatomy::UBERON:0001003
Disease::DOID:10941	DlA	Anatomy::UBERON:0001532
Disease::DOID:184	DlA	Anatomy::UBERON:0004452
Disease::DOID:4481	DlA	Anatomy::UBERON:0002410
Disease::DOID:11934	DlA	Anatomy::UBERON:0001649
Disease::DOID:2998	DlA	Anatomy::UBERON:0001072
Disease::DOID:11239	DlA	Anatomy::UBERON:0000992
Disease::DOID:119	DlA	Anatomy::UBERON:0000949
Disease::DOID:2994	DlA	Anatomy::UBERON:0001579
Disease::DOID:12365	DlA	Anatomy::UBERON:0000178
Disease::DOID:2994	DlA	Anatomy::UBERON:0002439
Disease::DOID:1826	DlA	Anatomy::UBERON:0002606
Disease::DOID:1936	DlA	Anatomy::UBERON:0002066
Disease::DOID:2994	DlA	Anatomy::UBERON:0003889
Disease::DOID:5559	DlA	Anatomy::UBERON:0001533
Disease::DOID:11239	DlA	Anatomy::UBERON:0002368
Disease::DOID:1686	DlA	Anatomy::UBERON:0000941
Disease::DOID:13378	DlA	Anatomy::UBERON:0001530
Disease::DOID:5408	DlA	Anatomy::UBERON:0001132
Disease::DOID:7693	DlA	Anatomy::UBERON:0001516
Disease::DOID:3310	DlA	Anatomy::UBERON:0001690
Disease::DOID:2377	DlA	Anatomy::UBERON:0002673
Disease::DOID:1686	DlA	Anatomy::UBERON:0001771
Disease::DOID:2377	DlA	Anatomy::UBERON:0002944
Disease::DOID:9074	DlA	Anatomy::UBERON:0001017
Disease::DOID:3070	DlA	Anatomy::UBERON:0002285
Disease::DOID:184	DlA	Anatomy::UBERON:0002205
Disease::DOID:6364	DlA	Anatomy::UBERON:0002519
Disease::DOID:184	DlA	Anatomy::UBERON:0001352
Disease::DOID:2841	DlA	Anatomy::UBERON:0002365
Disease::DOID:8398	DlA	Anatomy::UBERON:0001463
Disease::DOID:216	DlA	Anatomy::UBERON:0001831
Disease::DOID:8398	DlA	Anatomy::UBERON:0001469
Disease::DOID:219	DlA	Anatomy::UBERON:0002110
Disease::DOID:4606	DlA	Anatomy::UBERON:0000211
Disease::DOID:6364	DlA	Anatomy::UBERON:0001771
Disease::DOID:13223	DlA	Anatomy::UBERON:0001300
Disease::DOID:2531	DlA	Anatomy::UBERON:0002371
Disease::DOID:1024	DlA	Anatomy::UBERON:0001463
Disease::DOID:4045	DlA	Anatomy::UBERON:0002377
Disease::DOID:2994	DlA	Anatomy::UBERON:0000974
Disease::DOID:14330	DlA	Anatomy::UBERON:0001890
Disease::DOID:4481	DlA	Anatomy::UBERON:0001724
Disease::DOID:2355	DlA	Anatomy::UBERON:0001744
Disease::DOID:824	DlA	Anatomy::UBERON:0001597
Disease::DOID:4159	DlA	Anatomy::UBERON:0000026
Disease::DOID:0060119	DlA	Anatomy::UBERON:0001736
Disease::DOID:14221	DlA	Anatomy::UBERON:0001013
Disease::DOID:14004	DlA	Anatomy::UBERON:0002523
Disease::DOID:11934	DlA	Anatomy::UBERON:0002453
Disease::DOID:11615	DlA	Anatomy::UBERON:0002097
Disease::DOID:2377	DlA	Anatomy::UBERON:0001905
Disease::DOID:11612	DlA	Anatomy::UBERON:0001235
Disease::DOID:14330	DlA	Anatomy::UBERON:0001908
Disease::DOID:10283	DlA	Anatomy::UBERON:0002371
Disease::DOID:14330	DlA	Anatomy::UBERON:0002439
Disease::DOID:3312	DlA	Anatomy::UBERON:0001088
Disease::DOID:1115	DlA	Anatomy::UBERON:0001140
Disease::DOID:1725	DlA	Anatomy::UBERON:0001103
Disease::DOID:11934	DlA	Anatomy::UBERON:0001723
Disease::DOID:1909	DlA	Anatomy::UBERON:0002387
Disease::DOID:2596	DlA	Anatomy::UBERON:0003126
Disease::DOID:6364	DlA	Anatomy::UBERON:0001643
Disease::DOID:8577	DlA	Anatomy::UBERON:0001365
Disease::DOID:4159	DlA	Anatomy::UBERON:0001567
Disease::DOID:11615	DlA	Anatomy::UBERON:0002356
Disease::DOID:1612	DlA	Anatomy::UBERON:0003889
Disease::DOID:594	DlA	Anatomy::UBERON:0001633
Disease::DOID:1909	DlA	Anatomy::UBERON:0001773
Disease::DOID:9352	DlA	Anatomy::UBERON:0001021
Disease::DOID:1115	DlA	Anatomy::UBERON:0001710
Disease::DOID:1319	DlA	Anatomy::UBERON:0001650
Disease::DOID:11239	DlA	Anatomy::UBERON:0001361
Disease::DOID:119	DlA	Anatomy::UBERON:0002382
Disease::DOID:10608	DlA	Anatomy::UBERON:0002107
Disease::DOID:2994	DlA	Anatomy::UBERON:0002453
Disease::DOID:10652	DlA	Anatomy::UBERON:0002148
Disease::DOID:2994	DlA	Anatomy::UBERON:0001981
Disease::DOID:1192	DlA	Anatomy::UBERON:0001597
Disease::DOID:11934	DlA	Anatomy::UBERON:0002517
Disease::DOID:3070	DlA	Anatomy::UBERON:0002037
Disease::DOID:9074	DlA	Anatomy::UBERON:0002521
Disease::DOID:1324	DlA	Anatomy::UBERON:0001105
Disease::DOID:3310	DlA	Anatomy::UBERON:0001691
Disease::DOID:5419	DlA	Anatomy::UBERON:0002148
Disease::DOID:418	DlA	Anatomy::UBERON:0000946
Disease::DOID:8398	DlA	Anatomy::UBERON:0000982
Disease::DOID:14330	DlA	Anatomy::UBERON:0002285
Disease::DOID:2994	DlA	Anatomy::UBERON:0002298
Disease::DOID:8398	DlA	Anatomy::UBERON:0002516
Disease::DOID:5612	DlA	Anatomy::UBERON:0002362
Disease::DOID:2174	DlA	Anatomy::UBERON:0001724
Disease::DOID:7148	DlA	Anatomy::UBERON:0001827
Disease::DOID:184	DlA	Anatomy::UBERON:0002384
Disease::DOID:12365	DlA	Anatomy::UBERON:0001986
Disease::DOID:1826	DlA	Anatomy::UBERON:0001723
