source	metaedge	target
Disease::DOID:1324	DuG	Gene::682
Disease::DOID:12365	DuG	Gene::3717
Disease::DOID:1324	DuG	Gene::1830
Disease::DOID:9970	DuG	Gene::5154
Disease::DOID:12365	DuG	Gene::79413
Disease::DOID:14227	DuG	Gene::55552
Disease::DOID:2394	DuG	Gene::127933
Disease::DOID:10283	DuG	Gene::26249
Disease::DOID:2986	DuG	Gene::57728
Disease::DOID:7693	DuG	Gene::6352
Disease::DOID:2986	DuG	Gene::22881
Disease::DOID:7693	DuG	Gene::727830
Disease::DOID:0050742	DuG	Gene::118430
Disease::DOID:14330	DuG	Gene::54973
Disease::DOID:14227	DuG	Gene::200845
Disease::DOID:11612	DuG	Gene::388960
Disease::DOID:7693	DuG	Gene::55959
Disease::DOID:9206	DuG	Gene::7410
Disease::DOID:635	DuG	Gene::3557
Disease::DOID:263	DuG	Gene::51164
Disease::DOID:7693	DuG	Gene::643236
Disease::DOID:0050742	DuG	Gene::11272
Disease::DOID:1612	DuG	Gene::55740
Disease::DOID:2986	DuG	Gene::9540
Disease::DOID:10763	DuG	Gene::63920
Disease::DOID:332	DuG	Gene::203100
Disease::DOID:0050156	DuG	Gene::64078
Disease::DOID:1324	DuG	Gene::339778
Disease::DOID:1909	DuG	Gene::83440
Disease::DOID:7148	DuG	Gene::5791
Disease::DOID:986	DuG	Gene::4969
Disease::DOID:9008	DuG	Gene::1655
Disease::DOID:219	DuG	Gene::1001
Disease::DOID:12365	DuG	Gene::80352
Disease::DOID:12365	DuG	Gene::752
Disease::DOID:1793	DuG	Gene::6281
Disease::DOID:12365	DuG	Gene::10398
Disease::DOID:1612	DuG	Gene::9991
Disease::DOID:1324	DuG	Gene::8407
Disease::DOID:7147	DuG	Gene::4149
Disease::DOID:11612	DuG	Gene::200014
Disease::DOID:5419	DuG	Gene::54863
Disease::DOID:14330	DuG	Gene::9768
Disease::DOID:7693	DuG	Gene::51096
Disease::DOID:10652	DuG	Gene::434
Disease::DOID:1793	DuG	Gene::26
Disease::DOID:2531	DuG	Gene::6223
Disease::DOID:1324	DuG	Gene::64981
Disease::DOID:14330	DuG	Gene::201163
Disease::DOID:9206	DuG	Gene::682
Disease::DOID:7148	DuG	Gene::10643
Disease::DOID:0050742	DuG	Gene::4599
Disease::DOID:2531	DuG	Gene::9049
Disease::DOID:635	DuG	Gene::4793
Disease::DOID:13223	DuG	Gene::4986
Disease::DOID:2986	DuG	Gene::9260
Disease::DOID:14330	DuG	Gene::3304
Disease::DOID:0050156	DuG	Gene::1842
Disease::DOID:7148	DuG	Gene::9061
Disease::DOID:263	DuG	Gene::57696
Disease::DOID:332	DuG	Gene::79741
Disease::DOID:7148	DuG	Gene::3600
Disease::DOID:3083	DuG	Gene::119749
Disease::DOID:0050741	DuG	Gene::1647
Disease::DOID:2986	DuG	Gene::10103
Disease::DOID:10652	DuG	Gene::51490
Disease::DOID:13223	DuG	Gene::8505
Disease::DOID:635	DuG	Gene::3093
Disease::DOID:263	DuG	Gene::1033
Disease::DOID:11612	DuG	Gene::57419
Disease::DOID:0050742	DuG	Gene::79647
Disease::DOID:14227	DuG	Gene::23229
Disease::DOID:12365	DuG	Gene::467
Disease::DOID:986	DuG	Gene::2581
Disease::DOID:2531	DuG	Gene::23586
Disease::DOID:11612	DuG	Gene::2173
Disease::DOID:7693	DuG	Gene::11309
Disease::DOID:14330	DuG	Gene::8906
Disease::DOID:635	DuG	Gene::4288
Disease::DOID:7693	DuG	Gene::10865
Disease::DOID:635	DuG	Gene::11332
Disease::DOID:2531	DuG	Gene::51390
Disease::DOID:12365	DuG	Gene::1890
Disease::DOID:8778	DuG	Gene::211
Disease::DOID:0050741	DuG	Gene::84270
Disease::DOID:8893	DuG	Gene::55803
Disease::DOID:2531	DuG	Gene::51091
Disease::DOID:9008	DuG	Gene::338620
Disease::DOID:2986	DuG	Gene::27300
Disease::DOID:263	DuG	Gene::10973
Disease::DOID:986	DuG	Gene::4774
Disease::DOID:2986	DuG	Gene::80745
Disease::DOID:9970	DuG	Gene::3936
Disease::DOID:11612	DuG	Gene::441478
Disease::DOID:9008	DuG	Gene::10473
Disease::DOID:7148	DuG	Gene::3458
Disease::DOID:219	DuG	Gene::908
Disease::DOID:7148	DuG	Gene::113730
Disease::DOID:14227	DuG	Gene::51318
Disease::DOID:418	DuG	Gene::23682
Disease::DOID:1612	DuG	Gene::23753
Disease::DOID:418	DuG	Gene::85478
Disease::DOID:3083	DuG	Gene::54659
Disease::DOID:8778	DuG	Gene::30817
Disease::DOID:1909	DuG	Gene::7422
Disease::DOID:2531	DuG	Gene::11140
Disease::DOID:13223	DuG	Gene::8484
Disease::DOID:9008	DuG	Gene::492311
Disease::DOID:11612	DuG	Gene::401565
Disease::DOID:2986	DuG	Gene::5050
Disease::DOID:7148	DuG	Gene::7837
Disease::DOID:8778	DuG	Gene::9601
Disease::DOID:986	DuG	Gene::5551
Disease::DOID:2394	DuG	Gene::55357
Disease::DOID:12365	DuG	Gene::23616
Disease::DOID:8893	DuG	Gene::94239
Disease::DOID:13223	DuG	Gene::6555
Disease::DOID:7148	DuG	Gene::5788
Disease::DOID:1324	DuG	Gene::3613
Disease::DOID:7147	DuG	Gene::23603
Disease::DOID:986	DuG	Gene::3458
Disease::DOID:0050156	DuG	Gene::64780
Disease::DOID:8577	DuG	Gene::4837
Disease::DOID:5419	DuG	Gene::84458
Disease::DOID:9206	DuG	Gene::3588
Disease::DOID:263	DuG	Gene::241
Disease::DOID:14227	DuG	Gene::5144
Disease::DOID:0050742	DuG	Gene::84129
Disease::DOID:10652	DuG	Gene::875
Disease::DOID:1793	DuG	Gene::196
Disease::DOID:9970	DuG	Gene::8828
Disease::DOID:2394	DuG	Gene::28976
Disease::DOID:14330	DuG	Gene::23704
Disease::DOID:12365	DuG	Gene::140836
Disease::DOID:11612	DuG	Gene::4162
Disease::DOID:11612	DuG	Gene::55616
Disease::DOID:5419	DuG	Gene::51663
Disease::DOID:1909	DuG	Gene::10467
Disease::DOID:14330	DuG	Gene::5549
Disease::DOID:14227	DuG	Gene::129787
Disease::DOID:1793	DuG	Gene::4582
Disease::DOID:418	DuG	Gene::85459
Disease::DOID:10763	DuG	Gene::283080
Disease::DOID:986	DuG	Gene::53344
Disease::DOID:11612	DuG	Gene::7125
Disease::DOID:263	DuG	Gene::1282
Disease::DOID:7693	DuG	Gene::8507
Disease::DOID:0050741	DuG	Gene::163175
Disease::DOID:8778	DuG	Gene::3654
Disease::DOID:418	DuG	Gene::27109
Disease::DOID:0050742	DuG	Gene::960
Disease::DOID:7148	DuG	Gene::55841
Disease::DOID:332	DuG	Gene::79770
Disease::DOID:1793	DuG	Gene::84206
Disease::DOID:5419	DuG	Gene::8284
Disease::DOID:9206	DuG	Gene::211
Disease::DOID:14330	DuG	Gene::5976
Disease::DOID:13223	DuG	Gene::3891
Disease::DOID:1612	DuG	Gene::79894
Disease::DOID:5419	DuG	Gene::200186
Disease::DOID:418	DuG	Gene::51805
Disease::DOID:635	DuG	Gene::7319
Disease::DOID:2531	DuG	Gene::7905
Disease::DOID:332	DuG	Gene::55629
Disease::DOID:1612	DuG	Gene::26585
Disease::DOID:219	DuG	Gene::6628
Disease::DOID:219	DuG	Gene::29923
Disease::DOID:263	DuG	Gene::9201
Disease::DOID:3083	DuG	Gene::119774
Disease::DOID:1324	DuG	Gene::7164
Disease::DOID:14330	DuG	Gene::6907
Disease::DOID:7693	DuG	Gene::2055
Disease::DOID:332	DuG	Gene::3709
Disease::DOID:10652	DuG	Gene::10491
Disease::DOID:8778	DuG	Gene::4814
Disease::DOID:3083	DuG	Gene::563
Disease::DOID:2531	DuG	Gene::1212
Disease::DOID:0050742	DuG	Gene::9498
Disease::DOID:1909	DuG	Gene::6464
Disease::DOID:263	DuG	Gene::53335
Disease::DOID:13223	DuG	Gene::1071
Disease::DOID:1324	DuG	Gene::4363
Disease::DOID:8577	DuG	Gene::90411
Disease::DOID:8577	DuG	Gene::2669
Disease::DOID:1909	DuG	Gene::813
Disease::DOID:635	DuG	Gene::24138
Disease::DOID:986	DuG	Gene::6648
Disease::DOID:10763	DuG	Gene::283
Disease::DOID:1324	DuG	Gene::285220
Disease::DOID:7693	DuG	Gene::64744
Disease::DOID:8577	DuG	Gene::2760
Disease::DOID:8577	DuG	Gene::84034
Disease::DOID:13223	DuG	Gene::54923
Disease::DOID:1909	DuG	Gene::51507
Disease::DOID:986	DuG	Gene::9057
Disease::DOID:418	DuG	Gene::8933
Disease::DOID:263	DuG	Gene::9459
Disease::DOID:1793	DuG	Gene::3914
Disease::DOID:8577	DuG	Gene::1075
Disease::DOID:3083	DuG	Gene::219972
Disease::DOID:0050156	DuG	Gene::1001
Disease::DOID:14227	DuG	Gene::2131
Disease::DOID:0050741	DuG	Gene::64064
Disease::DOID:7148	DuG	Gene::9276
Disease::DOID:7148	DuG	Gene::23008
Disease::DOID:219	DuG	Gene::6533
Disease::DOID:10763	DuG	Gene::338699
Disease::DOID:12365	DuG	Gene::85464
Disease::DOID:1909	DuG	Gene::5793
Disease::DOID:986	DuG	Gene::7690
Disease::DOID:14227	DuG	Gene::813
Disease::DOID:2986	DuG	Gene::10384
Disease::DOID:418	DuG	Gene::51534
Disease::DOID:418	DuG	Gene::9555
Disease::DOID:9008	DuG	Gene::23348
Disease::DOID:7148	DuG	Gene::8728
Disease::DOID:263	DuG	Gene::51192
Disease::DOID:13223	DuG	Gene::11005
Disease::DOID:9206	DuG	Gene::3918
Disease::DOID:1909	DuG	Gene::27342
Disease::DOID:2531	DuG	Gene::2575
Disease::DOID:9206	DuG	Gene::54843
Disease::DOID:7693	DuG	Gene::3107
Disease::DOID:7147	DuG	Gene::51241
Disease::DOID:219	DuG	Gene::5689
Disease::DOID:0050156	DuG	Gene::51304
Disease::DOID:8778	DuG	Gene::221935
Disease::DOID:0050156	DuG	Gene::1311
Disease::DOID:2531	DuG	Gene::833
Disease::DOID:1909	DuG	Gene::283171
Disease::DOID:0050741	DuG	Gene::5292
Disease::DOID:1324	DuG	Gene::160428
Disease::DOID:7693	DuG	Gene::6354
Disease::DOID:7147	DuG	Gene::27258
Disease::DOID:2531	DuG	Gene::1452
Disease::DOID:332	DuG	Gene::100293516
Disease::DOID:3083	DuG	Gene::79905
Disease::DOID:14330	DuG	Gene::10816
Disease::DOID:13223	DuG	Gene::3355
Disease::DOID:2986	DuG	Gene::7768
Disease::DOID:1324	DuG	Gene::2783
Disease::DOID:9008	DuG	Gene::2187
Disease::DOID:219	DuG	Gene::3320
Disease::DOID:10652	DuG	Gene::64170
Disease::DOID:0050742	DuG	Gene::339512
Disease::DOID:8893	DuG	Gene::6280
Disease::DOID:0050742	DuG	Gene::1728
Disease::DOID:263	DuG	Gene::10659
Disease::DOID:1793	DuG	Gene::79838
Disease::DOID:7148	DuG	Gene::3112
Disease::DOID:8577	DuG	Gene::6731
Disease::DOID:8893	DuG	Gene::374918
Disease::DOID:8893	DuG	Gene::3429
Disease::DOID:986	DuG	Gene::653464
Disease::DOID:263	DuG	Gene::836
Disease::DOID:8893	DuG	Gene::3559
Disease::DOID:986	DuG	Gene::389136
Disease::DOID:2394	DuG	Gene::3460
Disease::DOID:14330	DuG	Gene::10521
