source	metaedge	target
Gene::55272	GcG	Gene::504189
Gene::8772	GcG	Gene::54964
Gene::388630	GcG	Gene::79192
Gene::5956	GcG	Gene::84287
Gene::10178	GcG	Gene::2281
Gene::30009	GcG	Gene::9739
Gene::392390	GcG	Gene::138802
Gene::122876	GcG	Gene::79413
Gene::7871	GcG	Gene::3895
Gene::83658	GcG	Gene::399473
Gene::55607	GcG	Gene::10430
Gene::25800	GcG	Gene::283849
Gene::10424	GcG	Gene::10644
Gene::100507050	GcG	Gene::345462
Gene::9689	GcG	Gene::6169
Gene::246329	GcG	Gene::54765
Gene::9782	GcG	Gene::333
Gene::254887	GcG	Gene::23617
Gene::29882	GcG	Gene::3196
Gene::341152	GcG	Gene::678
Gene::151056	GcG	Gene::283807
Gene::83988	GcG	Gene::10465
Gene::29911	GcG	Gene::100529063
Gene::30850	GcG	Gene::9092
Gene::6872	GcG	Gene::64766
Gene::27332	GcG	Gene::283849
Gene::27230	GcG	Gene::26254
Gene::7978	GcG	Gene::2804
Gene::1044	GcG	Gene::8913
Gene::54876	GcG	Gene::58525
Gene::23586	GcG	Gene::83666
Gene::26036	GcG	Gene::124989
Gene::126129	GcG	Gene::5140
Gene::9228	GcG	Gene::114795
Gene::9762	GcG	Gene::51477
Gene::139189	GcG	Gene::3950
Gene::51333	GcG	Gene::65078
Gene::6861	GcG	Gene::54961
Gene::7791	GcG	Gene::51274
Gene::131377	GcG	Gene::27239
Gene::4010	GcG	Gene::643803
Gene::26121	GcG	Gene::503542
Gene::646486	GcG	Gene::80139
Gene::392390	GcG	Gene::10043
Gene::50805	GcG	Gene::79869
Gene::57497	GcG	Gene::10201
Gene::114803	GcG	Gene::6332
Gene::51315	GcG	Gene::10858
Gene::1311	GcG	Gene::342132
Gene::84687	GcG	Gene::283298
Gene::6632	GcG	Gene::58
Gene::64764	GcG	Gene::4692
Gene::2846	GcG	Gene::256394
Gene::147646	GcG	Gene::118460
Gene::30832	GcG	Gene::4123
Gene::10385	GcG	Gene::160
Gene::6476	GcG	Gene::837
Gene::54926	GcG	Gene::5881
Gene::348262	GcG	Gene::164633
Gene::8721	GcG	Gene::83988
Gene::25894	GcG	Gene::23177
Gene::56929	GcG	Gene::80004
Gene::25844	GcG	Gene::124093
Gene::60412	GcG	Gene::51157
Gene::81606	GcG	Gene::8387
Gene::579	GcG	Gene::128434
Gene::83443	GcG	Gene::5986
Gene::2641	GcG	Gene::30846
Gene::100144748	GcG	Gene::79736
Gene::29071	GcG	Gene::9354
Gene::55661	GcG	Gene::6123
Gene::57325	GcG	Gene::50835
Gene::390142	GcG	Gene::9652
Gene::254065	GcG	Gene::25980
Gene::379	GcG	Gene::5914
Gene::25789	GcG	Gene::84445
Gene::79027	GcG	Gene::23498
Gene::57587	GcG	Gene::341799
Gene::9542	GcG	Gene::6833
Gene::5956	GcG	Gene::1311
Gene::11141	GcG	Gene::116535
Gene::6853	GcG	Gene::79009
Gene::149478	GcG	Gene::51127
Gene::9994	GcG	Gene::221336
Gene::286046	GcG	Gene::85458
Gene::7978	GcG	Gene::8085
Gene::64225	GcG	Gene::196403
Gene::55684	GcG	Gene::727957
Gene::57693	GcG	Gene::9057
Gene::348235	GcG	Gene::140706
Gene::55777	GcG	Gene::51477
Gene::8471	GcG	Gene::28952
Gene::390261	GcG	Gene::2720
Gene::7267	GcG	Gene::83937
Gene::6853	GcG	Gene::399473
Gene::8344	GcG	Gene::10399
Gene::23474	GcG	Gene::7546
Gene::23413	GcG	Gene::149345
Gene::645369	GcG	Gene::2595
Gene::7076	GcG	Gene::9684
Gene::8831	GcG	Gene::399474
Gene::23284	GcG	Gene::3490
Gene::29882	GcG	Gene::85025
Gene::10592	GcG	Gene::400935
Gene::57613	GcG	Gene::23401
Gene::7737	GcG	Gene::23598
Gene::2131	GcG	Gene::10260
Gene::554235	GcG	Gene::23172
Gene::7589	GcG	Gene::57465
Gene::4804	GcG	Gene::7574
Gene::55180	GcG	Gene::641654
Gene::25851	GcG	Gene::29886
Gene::56987	GcG	Gene::59343
Gene::613227	GcG	Gene::55195
Gene::81689	GcG	Gene::3013
Gene::147040	GcG	Gene::58158
Gene::90324	GcG	Gene::81559
Gene::1436	GcG	Gene::23013
Gene::375612	GcG	Gene::9462
Gene::8633	GcG	Gene::374879
Gene::348262	GcG	Gene::643803
Gene::338376	GcG	Gene::8749
Gene::4007	GcG	Gene::57106
Gene::79581	GcG	Gene::8460
Gene::6839	GcG	Gene::51310
Gene::23201	GcG	Gene::23401
Gene::402415	GcG	Gene::115509
Gene::51725	GcG	Gene::9049
Gene::162282	GcG	Gene::11151
Gene::23620	GcG	Gene::81282
Gene::389541	GcG	Gene::27243
Gene::255239	GcG	Gene::57035
Gene::25976	GcG	Gene::10168
Gene::64478	GcG	Gene::1137
Gene::145645	GcG	Gene::4692
Gene::9459	GcG	Gene::80217
Gene::84687	GcG	Gene::6774
Gene::345462	GcG	Gene::408263
Gene::51666	GcG	Gene::8484
Gene::81606	GcG	Gene::7556
Gene::554235	GcG	Gene::54538
Gene::148022	GcG	Gene::8804
Gene::80760	GcG	Gene::50614
Gene::8822	GcG	Gene::10804
Gene::84861	GcG	Gene::146212
Gene::4940	GcG	Gene::54906
Gene::57462	GcG	Gene::3726
Gene::8330	GcG	Gene::2036
Gene::23309	GcG	Gene::55608
Gene::80776	GcG	Gene::10437
Gene::26267	GcG	Gene::285636
Gene::55272	GcG	Gene::23558
Gene::90355	GcG	Gene::10936
Gene::79886	GcG	Gene::80778
Gene::143684	GcG	Gene::81569
Gene::100144748	GcG	Gene::51759
Gene::7589	GcG	Gene::84437
Gene::687	GcG	Gene::92922
Gene::81606	GcG	Gene::118460
Gene::257397	GcG	Gene::11282
Gene::10076	GcG	Gene::80818
Gene::55802	GcG	Gene::54765
Gene::57677	GcG	Gene::55285
Gene::402682	GcG	Gene::11041
Gene::285753	GcG	Gene::7733
Gene::64240	GcG	Gene::374879
Gene::4605	GcG	Gene::80262
Gene::339976	GcG	Gene::83638
Gene::5476	GcG	Gene::64856
Gene::51750	GcG	Gene::89941
Gene::114803	GcG	Gene::122769
Gene::284353	GcG	Gene::7349
Gene::403239	GcG	Gene::339965
Gene::7076	GcG	Gene::30832
Gene::10169	GcG	Gene::79665
Gene::7791	GcG	Gene::132112
Gene::114770	GcG	Gene::148022
Gene::5802	GcG	Gene::388228
Gene::89801	GcG	Gene::1954
Gene::56548	GcG	Gene::10330
Gene::81697	GcG	Gene::1140
Gene::7978	GcG	Gene::29945
Gene::9684	GcG	Gene::7572
Gene::54510	GcG	Gene::91151
Gene::390093	GcG	Gene::79009
Gene::27152	GcG	Gene::8479
Gene::84076	GcG	Gene::7408
Gene::128853	GcG	Gene::6861
Gene::23326	GcG	Gene::8139
Gene::8517	GcG	Gene::64708
Gene::26150	GcG	Gene::51282
Gene::53822	GcG	Gene::146547
Gene::9684	GcG	Gene::58473
Gene::401565	GcG	Gene::27439
Gene::6203	GcG	Gene::7090
Gene::157869	GcG	Gene::23558
Gene::8629	GcG	Gene::22909
Gene::23479	GcG	Gene::388662
Gene::2323	GcG	Gene::100170841
Gene::112574	GcG	Gene::7083
Gene::4846	GcG	Gene::5557
Gene::729665	GcG	Gene::57639
Gene::57677	GcG	Gene::54344
Gene::6288	GcG	Gene::51582
Gene::79817	GcG	Gene::8357
Gene::71	GcG	Gene::26519
Gene::252884	GcG	Gene::80816
Gene::65998	GcG	Gene::22795
Gene::122060	GcG	Gene::4209
Gene::100130705	GcG	Gene::25790
Gene::4005	GcG	Gene::7077
Gene::338	GcG	Gene::56267
Gene::30846	GcG	Gene::11021
Gene::154790	GcG	Gene::1339
Gene::341799	GcG	Gene::7170
Gene::100499483	GcG	Gene::168975
Gene::29945	GcG	Gene::10168
Gene::375791	GcG	Gene::5218
Gene::3895	GcG	Gene::10825
Gene::10858	GcG	Gene::26128
Gene::401541	GcG	Gene::10279
Gene::402415	GcG	Gene::59343
Gene::7917	GcG	Gene::81559
Gene::27067	GcG	Gene::9755
Gene::100127983	GcG	Gene::10858
Gene::80345	GcG	Gene::7571
Gene::2916	GcG	Gene::9260
Gene::51477	GcG	Gene::26585
Gene::1293	GcG	Gene::90019
Gene::55818	GcG	Gene::9411
Gene::83990	GcG	Gene::253725
Gene::26511	GcG	Gene::51157
Gene::9994	GcG	Gene::9833
Gene::10721	GcG	Gene::10225
Gene::55773	GcG	Gene::2204
Gene::79072	GcG	Gene::146050
Gene::23026	GcG	Gene::84698
Gene::284656	GcG	Gene::143425
Gene::154807	GcG	Gene::2306
Gene::219432	GcG	Gene::57217
Gene::2870	GcG	Gene::219453
Gene::11152	GcG	Gene::79002
Gene::22827	GcG	Gene::283871
Gene::10023	GcG	Gene::58504
Gene::55272	GcG	Gene::9762
Gene::100170841	GcG	Gene::1845
Gene::147906	GcG	Gene::10527
Gene::341880	GcG	Gene::51368
Gene::390067	GcG	Gene::64090
Gene::79091	GcG	Gene::4798
Gene::6491	GcG	Gene::10076
Gene::9310	GcG	Gene::128272
Gene::84629	GcG	Gene::482
Gene::100127983	GcG	Gene::9755
Gene::3788	GcG	Gene::23401
Gene::3788	GcG	Gene::1856
Gene::23020	GcG	Gene::147381
Gene::11047	GcG	Gene::51398
Gene::116092	GcG	Gene::11151
Gene::26235	GcG	Gene::121340
Gene::7633	GcG	Gene::80036
Gene::283638	GcG	Gene::125058
Gene::157869	GcG	Gene::22889
Gene::149420	GcG	Gene::10052
Gene::79109	GcG	Gene::29802
Gene::2928	GcG	Gene::29760
Gene::6916	GcG	Gene::9992
Gene::116931	GcG	Gene::6203
Gene::1627	GcG	Gene::375323
Gene::10251	GcG	Gene::7224
Gene::25876	GcG	Gene::7106
Gene::11254	GcG	Gene::1393
Gene::6872	GcG	Gene::23020
Gene::5148	GcG	Gene::71
Gene::57558	GcG	Gene::8938
Gene::63974	GcG	Gene::151354
Gene::79924	GcG	Gene::84072
Gene::8648	GcG	Gene::338761
Gene::374879	GcG	Gene::6910
Gene::219959	GcG	Gene::6788
Gene::221091	GcG	Gene::10630
Gene::55323	GcG	Gene::9412
Gene::2189	GcG	Gene::9668
Gene::579	GcG	Gene::7349
Gene::90187	GcG	Gene::4692
Gene::7841	GcG	Gene::2735
Gene::222229	GcG	Gene::11130
Gene::728224	GcG	Gene::126917
Gene::131583	GcG	Gene::7538
Gene::23764	GcG	Gene::55188
Gene::441669	GcG	Gene::126129
Gene::81501	GcG	Gene::11173
Gene::3920	GcG	Gene::84818
Gene::56951	GcG	Gene::9546
Gene::64759	GcG	Gene::1938
Gene::29780	GcG	Gene::56160
Gene::80896	GcG	Gene::115196
Gene::80028	GcG	Gene::9907
Gene::221687	GcG	Gene::81539
Gene::203523	GcG	Gene::408
Gene::100507050	GcG	Gene::27112
Gene::64094	GcG	Gene::222698
Gene::554235	GcG	Gene::389072
Gene::126006	GcG	Gene::8445
Gene::285659	GcG	Gene::51538
Gene::30846	GcG	Gene::783
Gene::10524	GcG	Gene::406
Gene::10926	GcG	Gene::2803
Gene::9747	GcG	Gene::79830
Gene::254783	GcG	Gene::56944
Gene::27332	GcG	Gene::147011
Gene::9351	GcG	Gene::9462
Gene::29114	GcG	Gene::258010
Gene::2149	GcG	Gene::100128927
Gene::26219	GcG	Gene::337971
Gene::347148	GcG	Gene::6694
Gene::283461	GcG	Gene::91056
Gene::84874	GcG	Gene::81563
Gene::2719	GcG	Gene::55285
Gene::10168	GcG	Gene::129080
Gene::8330	GcG	Gene::9114
Gene::80233	GcG	Gene::10648
Gene::84073	GcG	Gene::219793
Gene::9651	GcG	Gene::375790
Gene::22915	GcG	Gene::283461
Gene::7545	GcG	Gene::27165
Gene::343172	GcG	Gene::3476
Gene::25794	GcG	Gene::51412
Gene::136227	GcG	Gene::127396
Gene::91975	GcG	Gene::3913
Gene::11083	GcG	Gene::60437
Gene::3228	GcG	Gene::10289
Gene::284273	GcG	Gene::122060
Gene::399473	GcG	Gene::80344
Gene::81618	GcG	Gene::8425
Gene::149420	GcG	Gene::4761
Gene::55262	GcG	Gene::57106
Gene::23358	GcG	Gene::30846
Gene::132141	GcG	Gene::64232
Gene::5203	GcG	Gene::10123
Gene::54777	GcG	Gene::5071
Gene::23353	GcG	Gene::155185
Gene::341152	GcG	Gene::84078
Gene::1174	GcG	Gene::28512
Gene::26696	GcG	Gene::390431
Gene::2582	GcG	Gene::51157
Gene::8330	GcG	Gene::348793
Gene::56832	GcG	Gene::124989
Gene::51157	GcG	Gene::124540
Gene::387893	GcG	Gene::64766
Gene::157285	GcG	Gene::6874
Gene::85413	GcG	Gene::54798
Gene::344805	GcG	Gene::27159
Gene::64324	GcG	Gene::25789
Gene::388	GcG	Gene::54805
Gene::11151	GcG	Gene::4209
Gene::51428	GcG	Gene::6045
Gene::2619	GcG	Gene::1984
Gene::388662	GcG	Gene::147807
Gene::7584	GcG	Gene::79677
Gene::90060	GcG	Gene::5818
Gene::26984	GcG	Gene::399473
Gene::11152	GcG	Gene::11176
Gene::1019	GcG	Gene::55891
Gene::153090	GcG	Gene::10168
Gene::25794	GcG	Gene::7007
Gene::339287	GcG	Gene::283849
Gene::6932	GcG	Gene::10858
Gene::51299	GcG	Gene::59286
Gene::29801	GcG	Gene::84894
Gene::55255	GcG	Gene::199834
Gene::1774	GcG	Gene::29085
Gene::100127983	GcG	Gene::10014
Gene::81551	GcG	Gene::25798
Gene::10385	GcG	Gene::341640
Gene::4956	GcG	Gene::83983
Gene::6511	GcG	Gene::8175
Gene::5956	GcG	Gene::121340
Gene::85379	GcG	Gene::368
